player,team,position,scouting_report
Tyler Toffoli,San Jose Sharks,Forward,"A veteran scoring winger who, despite poor footspeed, is one of the league’s premier attackers off the rush. While other elements of his relatively complementary game can vary depending on his surroundings, what you can also count on is a volume of pucks on goal, especially from the outer slot. Toffoli’s smarts and instinct for the game allow him to get open for cross-ice feeds, sneak behind defences, and find soft areas where the puck always seems to get to him. Other aspects of his skillset are less exceptional, but he does make the simple continuation plays that don’t catch the eye but add up over time. You’ll rarely find him engaging physically on the forecheck or stealing pucks, but with the right linemates his style leads to lots of possession time and plenty of goals."
Alex Wennberg,San Jose Sharks,Forward,"A defensive playmaking centre who plays a stable, low-risk and relatively low-reward game. In the right role, can be an impressive and well-rounded passer, but has recently diminished in terms of creating opportunities for his linemates and producing at even strength. Extremely resistant to shooting the puck at 5-on-5 from anywhere on the ice. Despite limited offence, shows flashes of skill with great hands. Disciplined with the puck, rarely turning it over while having a strong defensive stick himself."
Mario Ferraro,San Jose Sharks,Defence,"A defence-first two-way defender with strong skating ability who plays a conservative game that involves very little involvement with the puck aside from putting low-percentage point shots on net. Mostly stays around the front of the net defensively, battling for position rather than chasing pucks and making plays with the puck in transition. Despite being small for a defenceman, not afraid to get involved physically."
Timothy Liljegren,San Jose Sharks,Defence,
Dmitry Orlov,San Jose Sharks,Defence,
Jan Rutta,San Jose Sharks,Defence,A stay-at-home depth defenceman with mobility and physicality but extremely limited puck skills and a habit for turning the puck over when forced to make a play. Puts pucks on net from the point with a decent shot but otherwise not a noteworthy offensive player.
Matty Beniers,Seattle Kraken,Forward,"A developing two-way playmaking centre still working out how to assert himself offensively. On offence, looks to pass first despite having a strong shot. Much of his creation originates in the defensive zone, where he ranks among the most active players in his age group in retrieving or stealing pucks and starting the rush from his own end of the ice. From there, he carries it through the neutral zone, often navigating around defenders before dishing a pass to an open linemate with speed. This skillset has made him an extremely effective defensive player, but until he’s more of a threat to score himself it limits his own offensive effectiveness."
Kaapo Kakko,Seattle Kraken,Forward,"A developing utility winger who protects the puck and contributes on the forecheck. While he’s shown flashes of the offensive upside he was drafted for, he has never developed the on-ice awareness to control the game offensively and still has too much tunnel vision with the puck on his stick to be much of a distributor unless the option is right in front of him. Lacks food speed and while he’s strong on the puck he’s not particularly physical either. His lack of progress in these areas makes it difficult to evision his upside as anything better than the third wheel retriever and net-crasher on a middle six unit."
Jared McCann,Seattle Kraken,Forward,"An efficient scoring centre who puts the puck in the net with sparkling efficiency. While he does have a great shot, the key to his gravity-defying finishing is that he strikes on high-percentage plays further out from the net like one-timers or screened shots from the outer slot or the perimeter, getting the goalie moving and opening up space to pick corners. Apart from his shot he’s a well-rounded if unexceptional two-way player who plays a clean game, shying away from physicality but drawing a lot of penalties."
Jaden Schwartz,Seattle Kraken,Forward,"A veteran playmaking two-way winger who uses his relatively short but sturdy frame to gain inside position in the slot and battle for pucks. Injuries and age have reduced his footspeed and made him more of a pure passer, and at this point he’s more of a utility piece to maintain possession than a line-driver. While he can still get to dangerous areas of the ice his finishing touch on those shots is poor and he struggles to put the puck in the net at 5-on-5."
Chandler Stephenson,Seattle Kraken,Forward,"A veteran playmaking centre whose game revolves around foot speed, carrying the puck through the neutral zone, and cycling the puck high in the offensive zone with a talented running mate. Shoots the puck very infrequently, and practically only off a pass and with lots of time and space. Undeniable passing upside but more dependent on his linemates than vise versa. Recently one of the fastest players in the league, but losing a step with each passing year. An unexceptional defender who doesn’t take penalties more due to a lack of physical engagement than strong discipline."
Eeli Tolvanen,Seattle Kraken,Forward,"A scoring winger whose game primarily revolves around puck-retrievals, pressuring and body-checking defencemen, and shooting and scoring off of extended offensive zone possessions. Has found a defensive niche even if his puck skills are much more limited than projected as a prospect."
Vince Dunn,Seattle Kraken,Defence,"A top-pairing offensive defenceman who moves the puck well in transition, controls play off the cycle, and puts the puck in the net at a strong rate. Has the creativity to set up linemates from the centre lane, venture towards the net to create chances for himself, and send pucks through to the net for deflections and rebounds. Deceptive in the neutral zone and clever at targeting linemates moving through the middle of the ice with speed to set up rush opportunities. A solid defensive stick and retrieves pucks in his own zone, but little physicality and can be weak in the net-front."
Brandon Montour,Seattle Kraken,Defence,"A smooth-skating second-pairing offensive defenceman who loves to join the rush, receive break-out passes and carry the puck into the offensive zone, and take it to the net for chances himself. Has a heavy slap-shot from the point but isn’t afraid to play like a fourth forward and take risks to shoot it from more dangerous areas of the ice. Some passing skill, but it’s not a significant strength of his game. Not particularly active in the defensive zone and prefers to be the beneficiary of a puck recovery and break-out pass than the initiator. His skillset can be maximized in a setting where he’s in the offensive zone as often as possible and doesn’t have to do the hard work defensively."
Adam Larsson,Seattle Kraken,Defence,"A stay-at-home defenceman who plays a conservative game with and without the puck with the exception of at times pushing further into the offensive zone to shoot the puck. Generally makes the safe play in transition. Protects the middle of the ice defensively off the rush and in sustained possessions rather than aggressively seeking to disrupt plays or chase loose pucks along the boards. As a result, needs a partner who’s willing and able to do the leg work to push play back in the right direction."
Jamie Oleksiak,Seattle Kraken,Defence,"A big veteran two-way defenceman who despite being one of the tallest and heaviest players in the league is a strong skater and plays with solid pace all over the ice. Limited as a puck-mover in transition and prone to turnovers, but an ambitious offensive-zone passer surprisingly adept at setting up linemates in dangerous areas of the ice. Has a bomb of a slap shot but rarely uses it, and picks his spots to jump up in the play and go to the net himself. Uses his massive stick and mobility in the defensive zone, disrupting plays along the boards, suppressing rush opportunities, and recovering loose pucks to turn into zone exits at a prolific and efficient clip. Doesn’t typically use his size to punish opponents physically but when he does (either in checks or fights) it can be deadly."
Pavel Buchnevich,St. Louis Blues,Forward,"A well-rounded top-line two-way forward who moves the puck up-ice in transition. An adaptable play-driver who matches his skill with the puck with an ability to fill in the blanks and provide value on any type of line. A pass-first player but gets to the net and has a knack for providing a target for cross-seam passes and deflections with nice finishing touch in tight; aside from when he takes a little extra time to deke around a goalie on the backhand, you almost never see him score of a non-one-timed or deflected shot. Improbably, the same is true of his playmaking: he wastes no time whatsoever with the puck, making quick, snappy passes often within a second of getting to the puck which allows him to advance it in transition and set up breakaways and shred the slot with speedy feeds after forechecking retrievals. These transition plays combined with strong possession have helped make him a terrific defensive player and a deadly penalty killer as well."
Dylan Holloway,St. Louis Blues,Forward,"A developing physical shot-first winger who battles for pucks like his life depends on it but doesn’t quite know what to do once he’s got it. He has solid hands and can gain the offensive zone, but what comes after that has often been elusive. His speed would suggest upside as a rush scorer, and there have been flashes in that direction that would help him fill a Josh Anderson role. Conversely, he seems to be a complete non-factor of a playmaker, lacking the ability to move the puck to dangerous areas and deferring entirely to safe low-high passes."
Mathieu Joseph,St. Louis Blues,Forward,"A speedy defensive middle six utility winger and penalty killer. Flashes offensive talent as a rusher, where he helps recover the puck in the defensive zone and move it up the ice either by carrying it or making short passes. From there he often makes simple but effective feeds, as his own shot is not particularly accurate. Provides defensive value through forechecking, physicality, and puck retrieval, although he gives some of it back through frequent turnovers, especially when he tries to do too much with it."
Jordan Kyrou,St. Louis Blues,Forward,"An offensive top-line winger with exceptional puck skills and the ability to pose a significant threat both as a passer and a shooter. Combines breakaway speed, superb hands, creativity, and a slick shot to be one of the better offensive weapons in the league when he’s at his best. Carries the puck through the neutral zone more than almost anyone, and how effective he is often depends on whether he’s able to turn those transitional plays into scoring chances. Even when he isn’t the one possessing the puck entering the zone, he makes himself a terrific target for west-to-east passes by gunning to the net with speed and catching defenders distracted. Uses his feet to draw defenders out of position before snapping passes to the slot from the wing or behind the net, and loves give-and-go plays off the rush. Figuring out how to make his game less high-risk, with fewer turnovers and lengthier offensive zone sequences a positive development."
Jake Neighbours,St. Louis Blues,Forward,"A developing scoring winger who put the puck in the net with great efficiency, slotting in with talented linemates and finding soft areas of the ice to generate one-timers and deflections. Throws the body and battles for pucks at both ends, although despite his enthusiasm his size makes it tough for him to win those spars. Will need to expand his game to continue to succeed in this role, as any reduction to his finishing rate would expose the limitations of his game with the puck as it stands now."
Robert Thomas,St. Louis Blues,Forward,"A skilled top-line playmaking centre who has established himself as one of the league’s best and most prolific passers. Plays the game with patience and deliberation, and even though he’s a premier rush player and often gets breakaways he doesn’t skate quickly; there’s almost a leisurely pace to how he moves with the puck. Always scanning and mapping out the offensive zone, he has the vision to identify the best passing target on the ice before the puck is even on his stick (often catching opposing defenders stunned with a no-look tape to tape pass) and the execution to deliver the “obvious” pass into the slot through stick and limbs. Few move the puck from “safe” areas like behind the net to high-danger areas nearly as well. An increasingly efficient finisher with a sneaky wrist shot who doesn’t shoot the puck unless he absolutely has to and especially refuses to put it on net from the perimeter at 5v5. Increasingly trusted defensively, but while he’s got a good stick and has become a good faceoff taker his chance suppression at evens has generally been poor, probably due in large part to how he plays offence."
Brayden Schenn,St. Louis Blues,Forward,"A veteran offensive centre who plays a complementary role at this point of his career. Has a solid and versatile shot with the ability to score from distance, and likes to blow the zone early to chase the odd-man counter-attack. Plays with a physical edge and forces the play, but the high-risk style has evident downsides and the Blues give up plenty with him on the ice. With the right linemates he can provide value as a passer but it seems unlikely that he could still drive a top six line."
Pius Suter,St. Louis Blues,Forward,"A middle-six shut-down centre who overcomes extremely poor skating, small size, and unexceptional puck skills with a strong defensive stick, smarts, scoring touch, and a willingness to get to the front of the net. Positions himself in the slot and keeps his stick free for linemates to target, throwing one-timers and rebounds on net. An asset defensively at even strength and the penalty kill despite being spotty in the dot due to strong positioning and a good stick."
Justin Faulk,St. Louis Blues,Defence,"A veteran offensive defenceman who takes risks all over the ice, with mixed results. Eager to jump into the rush and uses his stocky frame to protect the puck when it’s on his stick. Distributes the puck in the offensive zone, often getting into the centre lane and feeding wingers for scoring chances. Has a hard and heavy shot that he uses enthusiastically, but has no issue carrying the puck closer to the net before releasing it. Without the puck, tries to disrupt plays aggressively which results in a lot of takeaways but even more instances where he ends up blown past or chasing while the puck swings into the slot."
Colton Parayko,St. Louis Blues,Defence,"A big-minute top pair defensive defenceman blessed with exceptional physical gifts including massive size and reach and shockingly blazing footspeed. Absorbs difficult minutes, using his long stick to close off passing lanes in tight and his mobility to recover loose pucks, although he does often have trouble gathering them without allowing time for forecheckers to put them back in play. As with many blueliners of his height, not a prolific hitter. One of the most prolific puck-carrying defencemen in the league who mostly eschews break-out passes for doing the work of navigating the neutral zone himself, building up speed to gain the zone. Once in the offensive zone his game becomes much simpler, using a punishing slap-shot from the point or drifting to the circles to whip a wrist shot. While his defensive presence is stabilizing, the more puck-dominant aspects of his game can tend to keep it out of the hands of more dynamic forwards in transition, with consequences when it comes to overall team offence with him on the ice."
Nick Leddy,St. Louis Blues,Defence,"A swift-footed transition defenceman who uses his mobility to transport the puck up the ice either through breakout passes or on his stick. Capable of jumping up in the zone to distribute the puck to dangerous areas but isn’t a difference-maker offensively and rarely shoots. Plays a soft gap defending the rush, allowing opponents to gain the zone but protecting the middle of the ice. Struggles once set up in the defensive zone, rarely separating opponents from the puck."
Ryan Suter,St. Louis Blues,Defence,"A veteran defensive defenceman who plays a conservative game. Extremely and increasingly limited mobility prevents him from making ambitious plays, and if the play gets behind him things can go badly very quickly. Although he has a reasonably strong breakout pass he is fairly turnover prone relative to his infrequent puck touches. Doesn’t defend the blueline aggressively but sags back to direct traffic towards the boards and limit chances. Doesn’t do much in the offensive zone but set his partner up for one-timers."
Cam Fowler,St. Louis Blues,Defence,"A veteran two-way puck-moving defenceman, durable enough to withstand significant and difficult minutes while avoiding injury. Offers a stable if unexceptional skillset, moving the puck in transition and distributing it in the offensive zone with crisp, accurate passes that rarely result in turnovers. Reasonably active in the defensive zone with solid positioning, but does have a tendency to get walked when facing rushing attackers. Would likely be better-suited to a second-pairing role."
Oliver Bjorkstrand,Tampa Bay Lightning,Forward,"A two-way scoring winger who carries the puck in transition and plays a shot-first game in the offensive zone at even strength while dishing it on the powerplay. Works hard without the puck to regain it, chasing down loose pucks all over the ice and using a savvy defensive stick to separate opponents and work on the counter-attack. Despite a lack of size and foot speed, protects the puck well and controls possession well."
Anthony Cirelli,Tampa Bay Lightning,Forward,A high-end shut-down centre capable of winning shifts against top competition
Yanni Gourde,Tampa Bay Lightning,Forward,"A two-way playmaking centre who crashes the net and plays an active game with and without the puck. Harrasses opponents with stick checks, board battles, forechecking, and even hits despite being only 5’9. Light on his feet and manages the puck well, playing a straightforward transition game. A prolific passer, especially off extended offensive zone possessions where he often plays behind the net and extends his team’s cycling sequences by protecting the puck and making low-to-high passes. Once the puck gets to the point, he’s excellent at getting a stick on point shots. While he doesn’t create a high volume of shots for himself, the ones he does get are often in the blue point; unfortunately, his finishing touch is sub-par."
Jake Guentzel,Tampa Bay Lightning,Forward,"A star offensive winger who does everything necessary to make talented linemates better. Easy to play with because of his intelligence off the puck, willingness to go to the dangerous areas of the ice, strong finishing touch, and well-rounded offensive ability. Especially effective on lengthy cycling sequences where he is adept at getting defenders to lose sight of him until it’s too late and the puck’s on his stick in tight. Piles up scoring chances near the net including the inner slot, finding soft space near the back door and winning position in tight despite being relatively small and light. Particularly strong on deflections and gets to rebounds quick and cleanly, making him a great net-front option on the powerplay. Well above-average in almost all areas of the game including passing, but doesn’t need to spend a ton of time with the puck to make a big impact. Not very physical or abundantly fast but has a high motor nonetheless that makes him an effective and committed forechecker."
Brandon Hagel,Tampa Bay Lightning,Forward,"A top line two-way winger who tilts the ice at an elite level with a well-rounded set of skills at both ends of the ice. Well above-average in practically every area of the game, combining foot-speed, pace, motor, determination, creativity, and skill. Creates piles of breakaway and rush opportunities, bolting up the ice to receive break-out passes and catch defenders on the back-foot, and has the hands to beat them even when they do seem to have him cut off. Crashes the net at almost reckless speeds, taking plenty of damage in the interest of getting to loose pucks, rebounds, and back-door passes first. As easy as it is to envision this type of player having tunnel vision and always thinking shot-first, he thinks the game as quickly as he moves, allowing him to identify and execute split-second passing plays and one-touch sequences and spring linemates for breakaways, often with tape-to-tape saucer passes. Add in his active stick, forechecking motor, and willingness to battle for the puck and it’s tough to find a weak area of his game unless you’re fixated on bodychecking."
Nikita Kucherov,Tampa Bay Lightning,Forward,"A superstar playmaking winger with generational passing ability from the wing. Makes difficult passing plays look completely effortless, controlling the game at 5-on-5 like a powerplay and moving the puck at a serene pace. Sees plays develop in slow motion and makes lightning-fast decisions, taking pucks from the wall and perimeter and sending them to the slot in one smooth motion. Maybe the best player in the league at executing one-touch passing sequences and give-and-go plays. Uses his solid foot speed and excellent hands to bait defenders before casually dishing maddening feeds to an open linemate at just the right time. A superb goal-scorer with a silky smooth release.  Effective in transition not only as the primary puck carrier but as a passer who constantly improves the condition of the puck with one-touch passes to streaking linemates in the neutral zone. The occasional bit of nastiness doesn’t translate to consistent physical presence and while he’s not a liability defensively, other than takeaways, zone exits, and strong puck management he’s not exactly a shut-down winger."
Brayden Point,Tampa Bay Lightning,Forward,"A star scoring centre whose elite speed, puck skills, and nose for the net have allowed him to  become one of the game’s most consistent and efficient producers.  Times his routes to the back door extremely well, making him an ideal target for high-danger passes. Has a pin-point accurate one-timer but the presence of mind to take that extra second or even handle the puck in tight to make sure the net is as empty as possible before he shoots it, a quality that has made him the most efficient shooter in the game throughout his prime. A deft puck-handler whose speed and creativity through the neutral zone allow him to back off defenders, create odd-man breaks, and open passing lanes. Shot-first on extended offensive zone possessions but pass-first in transition.  Selects passes as carefully as he selects shots, making him one of the more careful puck managers in the league. Aside from asserting his presence in the slot lacks physicality due to his slight size  and has allowed his previously-strong defensive impact to slip in recent seasons."
Victor Hedman,Tampa Bay Lightning,Defence,
Ryan McDonagh,Tampa Bay Lightning,Defence,
Max Domi,Toronto Maple Leafs,Forward,"A pure playmaking forward who plays with an edge between the whistles. Can play centre or wing. Provides the vast majority of his value by funneling pucks from the perimeter to the slot, and while his passing lacks the finesse of other similar players the feeds get where they need to go. Not a threat to shoot the puck (except off the rush, where his solid foot speed makes him reasonably dangerous) or the occasional net-crashed rebound, and finishes inefficiently as well. Expresses his nastiness not by throwing hits, battling for pucks along the wall, or forechecking but by taking minor penalties of choice — lots of cross-checks, roughings, and slashes. Willing to drop the gloves to back up this behaviour."
Matthew Knies,Toronto Maple Leafs,Forward,"A developing power forward whose game is already extremely well-suited to complement talented linemates. Leverages his big and sturdy 6”3 227 point frame to battle on the boards, finish checks, and exert pressure on opposing defencemen trying to move the puck. That size also comes in handy in front of the net, where he wins position, sets screens, and jumps on rebounds. Boasts terrific hand-eye coordination and has a knack for getting a stick on point shots. Gets to the right place at the right time to smack in a high-danger pass but can also beat goalies clean from mid-range or on breakaways. Limited playmaking and creativity as a transition player will likely cap his ability to drive his own line but should be a real asset throughout his prime."
Auston Matthews,Toronto Maple Leafs,Forward,"A superstar scoring centre with generational ability to create chances and put the puck into the net, especially at even strength. Combines an unmatched release with elite hockey IQ, strength, and soft hands to be a singular threat off the puck. Exploits gaps in coverage, timing routes through traffic in the slot, and takes full advantage of the fact that he requires almost no time to get off a shot that can beat goaltenders point blank. Turns heavy pass receptions into wrist shots in one motion with unparalleled fluidity, meaning he needs only a second or two of space. Equally dangerous from distance, where he threatens with his trademark drag wrist shot, a thunderous onetimer, and tricky surprise strikes from the wall, as he is from the inner slot. Despite not being an end-to-end transition puck carrier, his control with it on his blade is astonishing and he’s one of the best in the world at taking pucks from awkward spots to scoring position, often with a slick deke around a helpless defender or goalie betwen his own legs. This extends to pucks on the stick of his opponents, which he strips on the forecheck with maddening frequency; meanwhile, you rarely see him cough up a puck himself. It helps when he also leverages his heavy 6”3 frame to win battles along the boards. Will never be mistaken for a pass-first player but is well above-average at creating for his linemates as well. The only issue with him has been health, with concerns always present about the possibility that his injury history will compound and damage his elite skills."
Bobby McMann,Toronto Maple Leafs,Forward,"A speedy middle-six scoring winger with a high motor. An enthusiastic forechecker who uses quick feet to harrass defenders and force turnovers. Effective in front of the net as a screener and gets plenty of deflections. Puts lots of pucks on net from all over the ice, and justifies it with a great release. Lacks the puck skills to be more of a difference-maker offensively but easy to move around the lineup."
William Nylander,Toronto Maple Leafs,Forward,"A star winger with an enviable set of offensive tools. Has the ability to score in practically any way,  whether it’s accurate wrist shots from distance, cross-ice one-timers, slick dekes around the goalie, or ugly net-crashing plays. His trademark goal is a wrister from just above the hashmarks between the dots, sometimes on a breakaway and sometimes on an offensive zone sequences where he’s burst off the wall to get the puck to the middle. Creates lots of room for himself in transition and despite only average foot-speed generates a lot of breakaways and odd-man opportunities. In addition to his elite hands, the 20 pounds he added since his rookie season make him hard to knock off the puck and give him that extra gear to beat defenders and take the puck end to end. A high-I.Q. playmaker who uses his feet, hands, fakes, and patience to force defenders out of passing lanes and wait for his target to get to the back door. Does everything offensively with a ton of style. While he has added size and some more grit to his offensive game, it has never translated to his play without the puck which is disinterested at best and lacks any physical engagement."
John Tavares,Toronto Maple Leafs,Forward,"A veteran top six scoring centre who excels in the tough areas of the ice in front of the net and along the boards. Solidly built and hard to knock off the puck, wins battles all over the ice and creates tons of opportunities in the blue paint. While the bulk of his chances come from in tight, he’s got a shot that can beat goalies from the flank or the top of the slot and is clever enough to hide on the perimeter before darting to open ice to receive a pass. Never the league’s most graceful or agile skater but can build up a decent amount of straight-line speed to win races and create breakaways and odd-man rushes. A deceptive puck-handler who can navigate through traffic and execute no-look passes out of dekes, although he generally looks to make the less-risky possession-extending feed to the point."
Brandon Carlo,Toronto Maple Leafs,Defence,"A top four defensive defenceman. Offensive game is effectively limited to being strong on the puck and occasionally carrying it in transition, although you will never see him trying to deke out an opponent. In his own end, he uses his huge frame not to throw crushing hits but to clear the front of the net, battle for pucks along the boards, block passing lanes and force turnovers, and to recover loose pucks. These skills make him an elite penalty killer as well."
Morgan Rielly,Toronto Maple Leafs,Defence,
Chris Tanev,Toronto Maple Leafs,Defence,
Logan Cooley,Utah Mammoth,Forward,"A developing playmaking centre with dynamic skill with the puck off the rush. Plays an up-tempo, eye-catching game, excelling at entering the zone with speed and control and creating legitimate scoring opportunities in transition. Frequently makes opposing defenders look silly or leaves them sprawled on the ice after a barrage of head-fakes, stick-handles, and pivots before navigating around them and taking a slick wrist shot or dishing a high-danger pass to the back-door. Scans the ice as quickly as he skates, identifying trailer options instead of always forcing the most difficult play. While he lacks size, he’s not afraid to play through contact and get to the net, although you’re more likely to see him lurking around the high slot than standing in the blue paint. Has tried to add a bit of edge to his game but it’s difficult at his size and his defensive game is mostly limited to forcing turnovers with an eye to getting the rush game back on track."
Lawson Crouse,Utah Mammoth,Forward,"A physical middle six winger who throws his weight around, gets to the front of the net, and occasionally gets off a heavy one-timer. Moves quite well, if not always gracefully, and lets linemates do most of the work with the puck in favour of crashing the crease or getting to the circles to receive a feed. Occasionally flashes some of the puck skill that made him a promising power forward as a prospect but his game is generally pretty straightforward."
Dylan Guenther,Utah Mammoth,Forward,"A developing scoring winger who torments goalies with a hard and accurate shot that can beat them from distance. His trademark is a pin-point left-circle one-timer but he’s got a lethal wrister as well which he’s able to get off in transition thanks to great wheels and increasing confidence handling the puck. Regarded as an off-puck scorer as a prospect, he’s clever at finding soft areas in the offensive zone, especially on cycling sequences where he can get lost in that medium-range area where he can reliably put the puck in the net, but at the NHL level he’s actually become much more puck-dominant. An unremarkable defender but a willing participant in his team’s end-to-end rush-based attack."
Clayton Keller,Utah Mammoth,Forward,"A first line playmaking winger whose patience with the puck and control of the perimeter makes him a significant offensive threat. Since he’s small and one of the least physical players in the NHL, he focuses on owning the half wall and taking advantage of where he’s guaranteed plenty of space to work so he can send passes to his linemates occupying the middle of the ice and the opposite flanks. Will take the puck from the wall to the top of the slot himself if he has space to do so relatively uncontested, although that mostly comes on the powerplay. Understands the value of getting the goalie moving even when the shots are coming from outside the slot and loves to make a long-distance east-to-west pass across the offensive zone. A significant scoring threat himself, especially from the dots on the powerplay where his one-timer is hard and accurate and he can take advantage of the extra space to whistle wrist shots over the shoulder of goalies. A terrific transition player who uses agility and hands to traverse the neutral zone and get the puck to his linemates off entries. Given his complete lack of physicality, his defensive impact is limited to a decent stick and transporting pucks out of his own end."
Jack McBain,Utah Mammoth,Forward,A physical bottom six centre who finishes his checks and parks his large frame at the net-front. Flashes solid hands in tight on occasion and can transition the puck out of the defensive zone but doesn’t create at a consistent enough clip to project further up the lineup. Makes his presence felt on the forecheck but also takes too many penalties as a result.
JJ Peterka,Utah Mammoth,Forward,"A developing scoring winger with a wicked wrist shot that can beat goalies cleanly, especially off the rush. Doesn’t need a lot of time or space to pick his spots, but creates extra room for himself with excellent hands. Doesn’t sit in the slot but times entries to receive high-danger passes. Quick feet and awareness lead to frequent breakaways and odd-man rushes. Not a difference-maker defensively, rarely forcing turnovers or retrieving pucks in his own zone and quite turnover prone."
Nick Schmaltz,Utah Mammoth,Forward,"A top-six playmaking forward who can play right wing or centre and generates a ton of opportunities for his linemates. Despite a lack of size and physicality and average at best footspeed, his vision and soft hands make him a reliable transition driver and a deadly puck-mover in the offensive zone who can take the extra time with the puck on his stick to open up a lane to the slot. Great at taking the puck off the wall and transporting it to the middle of the ice at the right time. Not a volume shooter by any stretch but finds soft spots in the slot to strike. Not a defensive liability and is engaged in his own end winning pucks and starting the break-out, although he can be a bit turn-over prone in the process."
Mikhail Sergachev,Utah Mammoth,Defence,"A top-pairing offensive defenceman who can handle heavy match-up minutes. Effective in the offensive zone, where he’s confident with the puck and willing to jump up in the play and get in tight to create scoring chances. A solid passer and strong carrying the puck but not a stand-out transition driver. An aggressive defender with an effective stick that disrupts plays but has a habit for getting carried away and blown past off the rush when the effort goes awry or getting caught chasing the puck in the defensive zone and drawn out of position. Not a particularly physical player despite good size."
Sean Durzi,Utah Mammoth,Defence,
John Marino,Utah Mammoth,Defence,
Brock Boeser,Vancouver Canucks,Forward,
Filip Chytil,Vancouver Canucks,Forward,"A shoot-first middle-six two-way centre who carries the puck in transition with superb speed and great hands. A battler who gets to the grimy areas of the ice along the boards and especially in front of the net, where he’s willing to jump on rebounds and take abuse in the blue ice. Not an exceptional defender but mostly does his job, although his ambitious attempts to win loose pucks in his own end often go awry."
Jake DeBrusk,Vancouver Canucks,Forward,
Conor Garland,Vancouver Canucks,Forward,
Elias Pettersson,Vancouver Canucks,Forward,"A first-line centre who plays an elegant, efficient game. When unencumbered by injury, his whippy wrist shot release is one of the deadliest in the NHL, almost impossible for goalies to stop from medium range. Also has a superb one-timer from the right circle on the powerplay and the hands to guide the puck into the net through multiple defenders and the goalie. His reluctance to hit top speed and rangy build combine with the precision of his puck skills give him an effortless air as he glides around the offensive zone. A phenomenally gifted passer who sees the ice incredibly well, is a patient decision-maker and casually delivers beautiful passes to the back door. Uses his backhand well to move the puck low-to-high and tee up trailers or defencemen skating in from the point. Has never been a quantity chance creator but picks his spots carefully, prioritizing possession over forcing plays. Unfairly criticized for a lack of physicality as he’s not afraid to use his body to win pucks along the boards, finish checks, and play through contact at the net-front. However, his stick is no doubt his most effective defensive weapon."
Kiefer Sherwood,Vancouver Canucks,Forward,
Filip Hronek,Vancouver Canucks,Defence,
Quinn Hughes,Vancouver Canucks,Defence,"An elite two-way defenceman who combines smooth skating, incredible passing skill, and silky puck control to impact the game like few other blueliners in recent memory. No defenceman spends more time with the puck on his stick, and when it comes to him at the point the possibilities are endless. Walks the blueline effortlessly, spinning off checks and constantly faking passes, keeping wingers guessing and leaving them in the dust if he decides to drop the shoulder and drive down the wing. Initiates the cycle by darting to the right point and getting his linemates to shift in tandem. Becoming a legitimate shooting and scoring threat himself has only enhanced his overall offensive game and no defender is better at and more willing to go coast to coast. The combination of his agile skating, hands, and passing ability make him the most prolific break-out passer in the game, as they allow him to beat the forechecker and buy time to deliver the optimal feed out of the zone. Uses his back-hand surprisingly often in transition, a testament to the unconventional routes he takes and lanes he identifies. Likely the best long-distance passer in the game. Defensively inhibited by his lack of size and rarely throws a check or effectively uses his body to win a battle, including at the net-front where he struggles to maintain inside position and can be exploited by stronger opponents. Nonetheless, stays on the positive side of the defensive ledger through his skating, awareness, and disruptive stick and has the skill to turn stick checks into changes of possession and clean zone exits in a second."
Marcus Pettersson,Vancouver Canucks,Defence,
Pavel Dorofeyev,Vegas Golden Knights,Forward,
Jack Eichel,Vegas Golden Knights,Forward,"A dynamic star centre whose envious footspeed and puck skills make him one of the deadliest offensive players in the league and an often-formidable defender as well. Spends more time than almost anybody in the game with the puck on his stick, not only dominating as a transition player but circling the offensive zone as well. Can beat defenders through the neutral zone by blowing past them with speed, deking past them with his terrific hands, or weaponizing his strong frame to protect the puck and beating them to the outside. Wants to attack the slot off the rush but manages the puck well and is willing to stop up, buy time, and make the safe pass to maintain possession. Speed, motor, stick, and strength combine to make him a menace without the puck and he’s always eager to disrupt plays and start the rush so he can get back to the fun part. A crafty and patient passer who uses his skating to open up lanes and his stick checking to create feeds to the slot out of nothing. A deadly scorer on breakaways and one-timers but also willing to crash the net to put the puck in."
Tomas Hertl,Vegas Golden Knights,Forward,
Mitch Marner,Vegas Golden Knights,Forward,"A star playmaking winger who plays a skilled defensive game as well. There may be no player at his position better at transporting the puck from the perimeter to a linemate’s tape in the slot, whether he’s patiently circling behind the net and targeting a player in front, carrying up to the point before firing a feed diagonal to the back door, or manipulating passing lanes with his terrific hands off the rush. Navigates to the easy areas of the ice and rewards his linemates for getting to the tougher spots. Keeps his small and light frame away from the board and net-front battles, but nonetheless exerts a positive defensive impact through a smart stick, great positioning, and efficiency transporting the puck out of his own end. An underrated goal scorer with a nice finishing touch in tight who doesn’t shoot the puck particularly often, and generates quite a few breakaways relative to his below-average foot speed. When games tighten up can retreat into a pure passer, continuing to create chances for his linemates but nullifying himself as a shooting threat."
Brandon Saad,Vegas Golden Knights,Forward,"A veteran shoot-first scoring winger who’s transitioned to being more of a net-front mucker in the past few seasons. Pounces on rebounds and makes himself available for one-timers in the slot, generating most of his offence in transition with the associated defensive drawbacks that come from such an aggressive counter-attacking style. Much more likely to jump into the rush after a teammate has gotten out of the defensive zone than do the work to force the turnover himself. Still has some speed, which helps him get where he needs to go in those bang-bang plays."
