,Player,Position,Height,Weight,Draft Year,2024-2025 Leagues,2024-2025 Team,NHL Rights,2025 NHL Equivalency,Star Probability,NHLer Probability
947,Maxim Ptashnikov,D,"6'4""",165,0,russia-u18,Zaryad Chelyabinsk U18,-,0.55,0.15%,0.26%
4371,Loris Rafanomezantsoa,D,"6'1""",187,5,usports,Univ. of Québec-Trois-Rivières,-,3.68,0.15%,0.1%
4372,Nic Wulser,D,"6'4""",168,1,u20-elit,SCL Young Tigers U20,-,0.34,0.15%,0.09%
4373,Jake Pomichter,F,"6'0""",198,1,ushs-prep,Canterbury School,-,2.71,0.15%,0.4%
4374,Nicolas Baechler,F,"6'2""",196,4,nla,ZSC Lions,-,6.54,0.15%,0.8%
4375,Yegor Stefantsov,D,"5'10""",165,4,kazakhstan,Ertis Pavlodar,-,0.0,0.15%,0.02%
4376,Harry Clements,D,"6'0""",196,2,qmjhl,Acadie-Bathurst Titan,-,1.85,0.15%,0.28%
4377,Timofei Urakov,D,"6'0""",183,2,mhl,Reaktor Nizhnekamsk,-,4.33,0.15%,0.39%
4378,Bryan Huggins,D,"5'11""",181,5,ncaa,Lake Superior State Univ.,-,2.48,0.15%,0.04%
4379,Joona Karvonen,D,"5'11""",187,1,u20 sm-liiga,Ässät U20,-,2.97,0.15%,0.24%
4380,Patrik Mrtka,D,"6'2""",181,1,czech-u20,HC Dukla Jihlava U20,-,1.13,0.15%,0.23%
4381,Ludvik Ivan Lysonek,F,"6'0""",194,2,usphl-premier,Connecticut Jr. Rangers,-,5.28,0.15%,0.18%
4382,Connor Frost,D,"6'0""",170,1,"sjhl, bchl",totals,-,2.35,0.15%,0.11%
4383,Karter Mcnarland,F,"5'11""",185,4,ncaa,Univ. of Alaska-Anchorage,-,4.14,0.15%,0.21%
4384,Xavier Filion,F,"6'1""",172,4,lnah,Jonquière Marquis,-,10.87,0.15%,0.23%
4385,Ty Gallagher,D,"6'0""",196,4,"ncaa, ahl",Colorado College,Boston Bruins,11.93,0.15%,4.21%
948,Wyatt Pisarczyk,D,"5'10""",172,0,whl,Calgary Hitmen,-,1.39,0.15%,0.57%
4387,Grant Dillard,F,"6'1""",194,1,"ushl, bchl",Omaha Lancers,-,2.89,0.15%,0.33%
4388,Nathan Delladonna,F,"5'10""",176,1,ushl,Des Moines Buccaneers,-,3.2,0.15%,0.32%
949,Evan Nee,F,"5'10""",165,0,ushs-prep,St. Mark's School,-,3.96,0.15%,0.53%
950,Matisse Uzunadam,F,"6'2""",185,0,"ushs-prep, mphl",Rice Memorial Prep,-,2.9,0.15%,0.85%
4391,Harald Humble,D,"6'4""",187,1,superelit,Timrå IK J20,-,0.96,0.15%,0.23%
4392,Kevin Zurcher,F,"6'0""",198,2,u20-elit,SC Bern Future U20,-,2.31,0.15%,0.19%
951,Nikita Yegorov,F,"5'11""",181,0,russia-u18,Krasnaya Mashina Yunior U18,-,3.05,0.15%,0.38%
4394,Anton Brorsson,D,"6'4""",194,2,superelit,Örebro HK J20,-,2.66,0.15%,0.72%
4395,Landon Mackie,F,"6'0""",196,1,bchl,Victoria Grizzlies,-,4.14,0.15%,0.52%
4396,Maxim Mamonov,F,"6'3""",194,2,"slovakia2, nahl",totals,-,2.64,0.15%,0.41%
4397,Blake Burke,F,"6'0""",185,1,ushs-prep,Westminster Prep,-,3.41,0.15%,0.37%
4398,Enis Spahija,D,"6'5""",183,1,j20-elit,Halmstad Hammers HC J20,-,0.83,0.15%,0.17%
4399,Patrick Sollinger,D,"6'1""",205,3,ebel,Black Wings Linz,-,4.14,0.15%,1.12%
4400,Carson Birnie,F,"6'1""",187,2,whl,totals,-,4.43,0.15%,0.4%
4401,Shawn Leary,D,"6'0""",194,2,"nahl, bchl",Surrey Eagles,-,3.25,0.15%,0.49%
4402,Daniel Assavolyuk,F,"5'10""",185,3,alpshl,RB Hockey Juniors,-,3.69,0.15%,0.23%
952,Jacob Hagskold,D,"6'4""",185,0,"j18 allsvenskan, j18-elit",Västerås IK J18,-,1.34,0.15%,0.39%
4404,Corwith Simmers,F,"5'10""",181,1,ushs-prep,Kimball Union Academy,-,2.88,0.15%,0.24%
4405,Alex Gaudio,F,"6'5""",223,4,usports,Concordia Univ.,-,5.3,0.15%,2.26%
4406,Liam Stre,F,"6'1""",203,2,norway,Lillehammer,-,3.9,0.15%,0.42%
4407,Ivan Shatilo,D,"6'0""",179,3,mhl,Dinamo-Shinnik Bobruysk,-,3.14,0.15%,0.22%
4408,Keets Fawcett,F,"5'11""",161,1,whl,totals,-,4.78,0.15%,0.39%
4409,Roy Chung,D,"6'0""",179,1,nahl,Springfield Jr. Blues,-,2.7,0.15%,0.27%
4410,Anton Kazachyok,D,"6'4""",183,4,vhl,Omskie Krylia,-,2.56,0.15%,0.22%
4411,Mans Pettersson,F,"6'5""",203,2,superelit,Djurgårdens IF J20,-,4.6,0.15%,0.89%
4412,Maxim Gubin,F,"5'7""",152,1,mhl,Kuznetskie Medvedi,-,6.37,0.15%,0.14%
4413,Joel Jonsson,F,"5'9""",152,3,"division-1, allsvenskan",IK Oskarshamn,-,4.0,0.15%,0.22%
4414,Sammy Crane,F,"5'8""",174,2,nahl,St. Cloud Norsemen,-,3.99,0.15%,0.13%
4415,Anatoli Soshnikov,F,"5'11""",172,1,mhl,Russkie Vityazi,-,6.75,0.15%,0.27%
953,Nicholas Nugent,D,"6'3""",187,0,ushs-mn,Orono High,-,0.38,0.15%,0.47%
4417,Sean Doherty,F,"6'1""",181,1,ohl,Niagara IceDogs,-,4.52,0.15%,0.51%
4418,Philip Mnnich Hagen,D,"5'11""",168,2,bchl,West Kelowna Warriors,-,2.59,0.15%,0.12%
4419,Carter Davis,D,"6'1""",176,2,ajhl,Canmore Eagles,-,1.02,0.15%,0.18%
954,Stepan Nechayev,F,"6'1""",183,0,russia-u18,Forward St. Petersburg U18,-,3.13,0.15%,0.53%
4421,Luke Malboeuf,D,"6'0""",190,2,ushl,Dubuque Fighting Saints,-,2.27,0.15%,0.2%
955,Gabe Ruiz,D,"6'0""",174,0,ushs-prep,Holderness School,-,1.9,0.15%,0.42%
4423,Wiktor Jerneheim,D,"6'0""",187,1,superelit,AIK J20,-,2.0,0.15%,0.32%
956,Jakub Habla,F,"5'11""",183,0,"slovakia2, slovakia-u20, slovakia-u18",Team Slovakia U18,-,2.65,0.15%,0.52%
957,Jackson Lackas,F,"5'8""",161,0,nahl,Chippewa Steel,-,6.09,0.15%,0.32%
958,Damian Kravcak,F,"6'0""",190,0,slovakia-u20,Barani Banska Bystrica U20,-,3.14,0.15%,0.46%
959,Sebastian Dahlqvist,F,"6'2""",176,0,"j18 allsvenskan, superelit, j18-elit",Linköping HC J18,-,3.24,0.15%,0.72%
4428,Alvin Elisson,D,"6'3""",190,1,j20-elit,IF Troja-Ljungby J20,-,1.03,0.15%,0.21%
960,Dmitri Silin,D,"6'4""",190,0,russia-u18,Spartak St. Petersburg U18,-,1.05,0.15%,0.43%
961,Leonid Kudlayev,F,"6'4""",209,0,russia-u18,Akademiya Biryukova U18,-,1.33,0.15%,1.48%
4431,Marek Potsinok,F,"5'10""",174,3,mestis,KeuPa HT,-,2.24,0.15%,0.26%
4432,Dalton Norris,D,"5'10""",183,5,ncaa,Bowling Green State Univ.,-,7.5,0.15%,0.24%
962,Arvid Berlin,D,"6'6""",201,0,"j18 allsvenskan, j18-elit",Växjö Lakers HC J18,-,0.48,0.15%,0.62%
4434,Ole Indergaard,F,"6'0""",168,2,superelit,MoDo Hockey J20,-,5.41,0.15%,0.3%
4435,Toivo Laaksonen,F,"6'2""",201,3,nahl,New Mexico Ice Wolves,-,5.33,0.15%,0.41%
4436,Urban Podrekar,D,"6'0""",194,2,ohl,Flint Firebirds,-,4.91,0.15%,0.94%
4437,David Lindholm,F,"6'3""",198,3,division-1,Mjölby HC,-,4.32,0.15%,0.61%
4438,Valther Vannar,D,"6'0""",181,3,division-1,Wings HC,-,2.02,0.15%,0.15%
4439,Salem Johnson,D,"5'10""",165,2,mjahl,Fredericton Red Wings,-,1.88,0.15%,0.09%
4440,Dmitri Nazarov,F,"6'3""",196,4,vhl,totals,-,7.69,0.15%,1.11%
4441,Braeden O'Keefe,F,"5'9""",170,2,"ohl, ojhl",Niagara Falls Canucks,-,3.6,0.15%,0.14%
4442,Hyde Davidson,D,"6'2""",172,1,whl,Seattle Thunderbirds,-,3.48,0.15%,0.27%
4443,Nikita Dishkovsky,F,"5'11""",165,4,vhl,SKA-Neva St. Petersburg,-,9.25,0.15%,0.27%
4444,Carsen Lloyd,D,"5'11""",185,1,bchl,totals,-,2.71,0.15%,0.21%
4445,Jay Ellingson,F,"5'10""",165,2,usphl-premier,Minnesota Squatch,-,7.97,0.15%,0.41%
4446,Fyodor Mamonov,F,"6'0""",165,2,nmhl,Dynamo-576 St. Petersburg,-,5.98,0.15%,0.51%
963,Veeti Ruotsalainen,D,"5'11""",168,0,"wjc-18, u20 sm-liiga",Kärpät U20,-,1.62,0.15%,0.35%
964,Kondrat Sazonov,F,"6'1""",183,0,russia-u18,Olimp Obninsk U18,-,3.19,0.15%,0.61%
4449,Shaun Mcewen,D,"6'0""",192,3,ushl,Tri-City Storm,-,6.59,0.15%,0.58%
965,Noa Nsonsa-Kitala,F,"6'1""",157,0,france,Marseille,-,4.83,0.15%,0.6%
966,Joshua Avery,F,"6'1""",170,0,ohl,Brantford Bulldogs,-,4.68,0.15%,0.63%
4452,Vincent Palmarin,D,"6'1""",201,1,"qmjhl, sjhl",Notre Dame Hounds,-,3.03,0.15%,0.57%
967,Cole Braunshausen,F,"5'9""",170,0,ushs-mn,St. Thomas Academy,-,3.83,0.15%,0.39%
4454,Drew Montgomery,F,"5'11""",174,4,ncaa,Colorado College,-,8.41,0.15%,0.19%
4455,Emil Valila,F,"5'11""",181,3,u20 sm-liiga,KooKoo U20,-,7.19,0.15%,0.17%
968,Tommy Picconatto,D,"6'0""",181,0,ushs-mn,Maple Grove High,-,1.29,0.15%,0.37%
4457,Hugo Bergvall,D,"5'10""",161,5,division-2,Grums IK,-,1.26,0.15%,0.01%
969,Yegor Usov,D,"5'10""",176,0,russia-u18,Dynamo-Yunior St. Petersburg U18,-,1.99,0.15%,0.34%
4459,Maxim Bykov,F,"6'1""",179,5,vhl,Neftyanik Almetievsk,-,12.36,0.15%,1.34%
4460,Elias Strand,D,"6'3""",209,1,j20-elit,IF Sundsvall Hockey J20,-,0.54,0.15%,0.29%
4461,Sebastian Labori Christiansen,F,"6'1""",196,4,alpshl,Kitzbüheler EC,-,6.18,0.15%,0.34%
4462,Vsevolod Putintsev,D,"5'10""",170,4,vhl,Dynamo-Altay Barnaul,-,3.11,0.15%,0.06%
4463,Rylan Gage,F,"5'11""",194,2,mjhl,Dauphin Kings,-,2.09,0.15%,0.19%
4464,Boris Babeliak,F,"6'1""",192,3,slovakia2,HK Trebisov,-,4.2,0.15%,0.26%
4465,Benjamin Bougro,F,"5'6""",163,4,nla,Lausanne HC,-,3.27,0.15%,0.09%
4466,Maxim Belousov,D,"6'1""",183,2,mhl,Loko Yaroslavl,-,4.09,0.15%,0.74%
970,Jaxson Doyle,D,"6'2""",201,0,ajhl,Olds Grizzlys,-,0.62,0.15%,0.68%
971,Roman Galkin,F,"6'2""",192,0,russia-u18,Dynamo-Iceberg U18,-,2.33,0.15%,0.82%
972,Ethan Bibeau,F,"6'1""",185,0,whl,Prince Albert Raiders,-,3.56,0.15%,0.53%
4470,Timofei Krein,F,"6'0""",172,2,belarus,Dinamo-Molodechno,-,6.77,0.15%,0.35%
4471,Grady Lenton,F,"5'10""",185,2,pijhl,Delta Ice Hawks,-,3.37,0.15%,0.19%
4472,Anze Zezelj,F,"5'9""",179,2,erste-liga,Fehérvár Hockey Academy 19,-,6.5,0.15%,0.17%
4473,Matt Gosselin,F,"5'7""",161,1,qmjhl,Blainville-Boisbriand Armada,-,6.15,0.15%,0.17%
973,Denis Kosourov,D,"5'9""",154,0,russia-u18,GUOR Yaroslavl U18,-,2.35,0.15%,0.19%
974,Hobey Skulstad,D,"5'10""",161,0,ushs-mn,Armstrong/Cooper High,-,2.14,0.15%,0.25%
4476,Stepan Terekhov,F,"6'1""",172,2,"khl, vhl",Neftyanik Almetievsk,-,6.82,0.15%,0.33%
4477,Noam Holzer,F,"6'0""",183,1,u20-elit,HC Fribourg-Gottéron U20,-,5.34,0.15%,0.35%
4478,Maxwell Chakrabarti,D,"6'3""",181,2,sjhl,Weyburn Red Wings,-,3.78,0.15%,0.47%
975,Kieran Ganga,F,"6'0""",165,0,usphl-premier,Bellingham Blazers,-,5.57,0.15%,0.68%
4480,Yegor Grakhov,F,"5'9""",163,1,mhl,totals,-,4.66,0.14%,0.26%
976,Filip Sjolund,F,"6'2""",187,0,"j18 allsvenskan, superelit, j18-elit",Timrå IK J18,-,2.69,0.14%,0.73%
4482,Oscar Karlsson,F,"6'2""",179,2,superelit,Linköping HC J20,-,5.58,0.14%,0.84%
4483,Jack Parker,D,"5'8""",165,4,usports,Grant MacEwan Univ.,-,1.14,0.14%,0.02%
4484,Tait Humphries,D,"5'11""",185,2,pijhl,Port Coquitlam Trailblazers,-,1.88,0.14%,0.13%
977,Noel Skarby,F,"6'0""",170,0,"j18 allsvenskan, superelit, j18-elit",HV71 J20,-,3.75,0.14%,0.43%
4486,Justin Dezoete,F,"6'0""",196,3,"ohl, ojhl",Milton Menace,-,4.19,0.14%,0.24%
4487,Robert Chlan,F,"5'10""",165,1,"czech-u20, ushl",Cedar Rapids RoughRiders,-,6.46,0.14%,0.25%
4488,Alex Sandhu,F,"6'2""",209,2,nahl,St. Cloud Norsemen,-,4.18,0.14%,0.51%
978,Stepan Meshkov,F,"6'0""",163,0,mhl,totals,-,3.21,0.14%,0.49%
4490,Viktor Eriksson,F,"5'9""",161,2,superelit,Brynäs IF J20,-,7.34,0.14%,0.2%
4491,Jakob Haraldsson,D,"6'2""",170,2,j20-elit,Bodens HF J20,-,1.0,0.14%,0.1%
4492,Ryan Hopkins,D,"6'1""",183,3,mjahl,Fredericton Red Wings,-,2.21,0.14%,0.91%
4493,Simon Muller,D,"6'0""",181,1,"nla, u20-elit",HC Davos U20,-,1.18,0.14%,0.17%
4494,Brayden Campbell,F,"6'0""",185,1,mjahl,Grand Falls Rapids,-,1.84,0.14%,0.31%
979,Kevin-Lee Andersson,D,"6'1""",203,0,j18-div.1,Hille/Åbyggeby IK J18,-,0.51,0.14%,0.65%
4496,Wade Bolton,D,"6'4""",185,4,usports,Royal Military College,-,0.68,0.14%,0.19%
4497,Jonah Jasser,F,"6'2""",194,1,nahl,Shreveport Mudbugs,-,1.94,0.14%,0.59%
980,Luke Brierley,D,"6'1""",185,0,nahl,Janesville Jets,-,2.6,0.14%,0.6%
981,Ethan Smith,F,"6'2""",187,0,cchl,Navan Grads,-,3.04,0.14%,0.56%
4500,Ivan Kirilin,F,"6'0""",168,1,mhl,totals,-,2.61,0.14%,0.39%
4501,Charles Pardue,F,"5'10""",172,1,ushl,totals,-,3.72,0.14%,0.18%
4502,Raphael Denis,D,"5'11""",181,3,mjahl,totals,-,3.61,0.14%,0.24%
4503,Patrick Dotson,D,"6'3""",201,2,cchl,Navan Grads,-,0.84,0.14%,0.59%
4504,Vidar Blixt,F,"6'0""",183,1,superelit,MoDo Hockey J20,-,5.24,0.14%,0.28%
982,Jonathan Brown,D,"6'2""",201,0,ushs-prep,Shattuck St. Mary's 18U Prep,-,1.08,0.14%,0.74%
4506,Nik Christian Petrovic,F,"6'2""",190,1,"nlb, u20-elit",EV Zug U20,-,3.58,0.14%,0.57%
4507,Kirill Steklov,D,"6'4""",190,5,"khl, vhl",Torpedo-Gorky NN,-,8.99,0.14%,0.82%
4508,Kyan Haldenby,F,"6'2""",190,3,nahl,Shreveport Mudbugs,-,9.06,0.14%,0.66%
4509,Luke Mackenzie,F,"6'1""",196,1,mjhl,Niverville Nighthawks,-,1.33,0.14%,0.43%
4510,Ethan Wallace,D,"6'4""",196,1,"qjaaahl, cchl",Gatineau Flames,-,1.52,0.14%,0.22%
4511,Nolan Cattin,F,"5'11""",183,1,"nla, nlb, u20-elit",EHC Biel-Bienne,-,2.16,0.14%,0.29%
983,Dmitri Konokhov,F,"6'0""",187,0,russia-u18,Arktika Murmansk U18,-,2.22,0.14%,0.47%
4513,Kristo Pitkanen,F,"6'0""",190,2,nahl,Lone Star Brahmas,-,4.7,0.14%,0.29%
984,Ivan Tyagunsky,F,"6'2""",170,0,russia-u18,Krasnaya Mashina Yunior U18,-,2.48,0.14%,0.78%
4515,Marsel Fazlov,D,"5'11""",183,2,mhl,Irbis Kazan,-,0.81,0.14%,0.37%
4516,Danila Tkach,F,"6'4""",203,3,vhl,CSK VVS Samara,-,5.23,0.14%,0.95%
4517,Moritz Elias,F,"5'8""",176,3,del,Augsburger Panther,-,3.68,0.14%,0.11%
4518,Liam Normann,F,"6'2""",203,2,superelit,IF Björklöven J20,-,0.68,0.14%,0.4%
4519,Ebbe Dahlen,F,"6'2""",198,2,"superelit, j20-elit",Östersunds IK J20,-,2.34,0.14%,0.29%
4520,Matyas Dedek,F,"5'10""",165,2,"czech3, czech2",VHK Vsetin,-,4.42,0.14%,0.22%
985,Temujin Nilsson,F,"6'1""",190,0,"superelit, j18-elit",Almtuna IS J18,-,1.88,0.14%,0.67%
4522,Jesse Rantanen,F,"5'11""",174,4,u20 sm-liiga,Sport U20,-,8.58,0.14%,0.16%
4523,Daniil Lvov,D,"6'1""",161,1,nmhl,Dynamo-576 St. Petersburg,-,1.94,0.14%,0.09%
4524,Nicolas Schindler,F,"5'11""",181,2,del2,Dresdner Eislöwen,-,1.94,0.14%,0.15%
986,Evan Hjelholt,D,"6'4""",218,0,ojhl,King Rebellion,-,1.01,0.14%,0.91%
987,Jonah Vanderhorst,D,"6'3""",187,0,mjhl,totals,-,0.89,0.14%,0.41%
4527,Joel Hanson,F,"6'4""",205,2,nahl,Kenai River Brown Bears,-,1.16,0.14%,0.59%
988,Yegor Kasatkin,F,"6'0""",168,0,russia-u18,Dynamo-Yunior St. Petersburg U18,-,3.3,0.14%,0.63%
4529,Nolan Egelton,D,"6'0""",187,1,ojhl,Collingwood Blues,-,1.33,0.14%,0.22%
4530,David Polak,D,"6'1""",172,2,slovakia2,HK Skalica,-,1.95,0.14%,0.11%
4531,Jakub Strban,D,"5'11""",174,1,"slovakia, slovakia-u20",HK 32 Liptovsky Mikulas,-,0.44,0.14%,0.07%
989,Mario Kohut,D,"6'1""",192,0,"slovakia2, slovakia-u20, slovakia-u18",HK Gladiators Trnava,-,1.71,0.14%,0.58%
4533,Carson Littlejohn,D,"6'0""",209,1,ojhl,totals,-,2.15,0.14%,0.61%
4534,Dominik Bartecko,F,"5'9""",170,3,ncaa,Mercyhurst Univ.,-,6.15,0.14%,0.2%
4535,Luke Wagner,D,"6'0""",190,1,mjhl,Niverville Nighthawks,-,1.42,0.14%,0.29%
4536,Seth Morris,F,"5'5""",146,1,usphl-premier,Florida Eels,-,2.76,0.14%,0.04%
4537,Jack Peart,D,"5'11""",185,4,ahl,Iowa Wild,Minnesota Wild,4.22,0.14%,1.24%
4538,William Wangelin,F,"5'10""",205,2,division-2,Tierps HK,-,0.49,0.14%,0.09%
4539,Alex Yermolenko,F,"6'1""",187,2,mhl,Dinamo-Shinnik Bobruysk,-,3.76,0.14%,0.29%
4540,Owen Berge,F,"6'0""",196,1,whl,Moose Jaw Warriors,-,3.92,0.14%,0.45%
990,Kirill Isayenko,F,"5'11""",165,0,russia-u18,Kristall Berdsk U18,-,4.32,0.14%,0.55%
4542,Joshua Geu,D,"6'0""",176,5,germany3,Hammer Eisbären,-,2.39,0.14%,0.06%
991,Loke Hagel,D,"6'5""",190,0,"j18-elit, j18-div.1",Boo HC J18,-,0.56,0.14%,0.44%
4544,Alexei Alshevsky,F,"6'0""",174,2,mhl,Stalnye Lisy Magnitogorsk,-,7.28,0.14%,0.55%
992,Dylan Dubuc,D,"6'1""",201,0,ushs-mn,Edina High,-,0.59,0.14%,0.61%
4546,Anthony Clutchey,D,"5'11""",183,2,qmjhl,Val-d'Or Foreurs,-,0.92,0.14%,0.11%
4547,Roope Rajala,F,"5'11""",187,1,"qmjhl, u20 sm-liiga",Tappara U20,-,1.62,0.14%,0.21%
4548,Kayden Longley,F,"6'1""",174,1,whl,Kelowna Rockets,-,6.13,0.14%,0.56%
993,Isaiah Henderson,F,"5'8""",181,0,ushs-mn,St. Paul Johnson High,-,4.35,0.14%,0.22%
4550,Ilya Slepkov,D,"5'10""",154,2,mhl,Reaktor Nizhnekamsk,-,6.21,0.14%,0.12%
4551,Wilhelm Gullhav,D,"5'10""",170,3,norway,Narvik Hockey,-,3.15,0.14%,0.06%
4552,Linus Jerbrant,D,"6'2""",185,1,superelit,AIK J20,-,0.54,0.14%,0.12%
4553,Daniel Olsson,F,"6'3""",192,2,"nla, nlb, u20-elit",GC Küsnacht Lions,-,2.95,0.14%,0.58%
4554,Collin Hites,D,"6'4""",190,1,ushs-mn,Roseville High,-,1.76,0.14%,0.26%
4555,Yan Dudko,D,"6'1""",194,2,belarus,totals,-,2.74,0.14%,0.33%
4556,Kirill Nikolenko,F,"6'2""",181,2,nmhl,HK Bobrov,-,9.53,0.14%,0.66%
4557,Amill Andersson,F,"6'0""",187,3,division-1,Lindlövens IF,-,3.87,0.14%,0.4%
4558,Bogdan Trineyev,F,"6'3""",203,5,ahl,Hershey Bears,Washington Capitals,11.33,0.14%,3.67%
994,Jakub Winkelhofer,D,"6'2""",185,0,czech-u20,HC Litvínov U20,-,2.57,0.14%,0.61%
4560,Alex Kovalyov,D,"6'1""",194,4,vhl,Buran Voronezh,-,5.82,0.14%,0.37%
4561,Mason Croucher,D,"6'2""",185,2,ncaa,RIT (Rochester Inst. of Tech.),-,0.0,0.14%,0.24%
4562,Niilo Setala,D,"6'0""",201,2,ii-divisioona,LuKi-82,-,0.77,0.14%,0.2%
4563,Artyom Kislitsin,F,"6'0""",185,3,mhl,Amurskie Tigry Khabarovsk,-,4.64,0.14%,0.37%
4564,Owen Michaels,F,"6'0""",179,5,ncaa,Western Michigan Univ.,-,13.62,0.14%,0.38%
995,Nathan Mchattie,D,"6'3""",190,0,gojhl,Ayr Centennials,-,1.13,0.14%,0.45%
4566,Jakub Altrichter,F,"5'10""",154,4,ncaa,Northern Michigan Univ.,-,9.43,0.14%,0.37%
4567,Marek Sramaty,F,"5'11""",176,4,"slovakia, slovakia2",MSK Ziar nad Hronom,-,8.73,0.14%,0.26%
4568,Valtteri Tiilikainen,D,"6'2""",176,1,u20 sm-liiga,KooKoo U20,-,0.18,0.14%,0.08%
4569,Leonid Gavrilov,D,"6'1""",174,2,mhl,Chaika Nizhny Novgorod,-,4.75,0.14%,0.38%
996,Andrei Kravchuk,F,"6'0""",157,0,mhl,Dinamo-Shinnik Bobruysk,-,6.02,0.14%,0.57%
4571,Vladislav Shikhov,D,"6'2""",183,1,mhl,Tyumenski Legion,-,0.41,0.14%,0.19%
4572,Yaroslav Zykov,F,"5'9""",168,4,vhl,Molot Perm,-,6.73,0.14%,0.23%
4573,Pavel Kamko,D,"6'5""",190,3,"belarus, belarus-vysshaya",HK Mogilev,-,2.41,0.14%,0.85%
997,Henry Major,F,"5'8""",170,0,ushl,Chicago Steel,-,2.39,0.14%,0.22%
4575,Lukas Vesterlund,F,"6'2""",185,3,"allsvenskan, shl",IK Oskarshamn,-,6.5,0.14%,0.51%
4576,Wilmo Andersson,D,"5'9""",170,2,superelit,Djurgårdens IF J20,-,5.16,0.14%,0.11%
4577,Michael Suda,D,"6'1""",187,5,"ncaa, echl",Cornell Univ.,-,4.45,0.14%,0.2%
4578,Teddy Macausland,F,"5'9""",179,1,ushs-prep,Noble & Greenough School,-,2.15,0.14%,0.12%
4579,Victor Tragardh,D,"6'3""",176,4,division-2,Göta/Traneberg,-,0.98,0.14%,0.1%
4580,Ville Arkiomaa,D,"6'2""",194,2,u20 sm-liiga,HIFK U20,-,1.77,0.14%,0.34%
998,Josh Thomas,F,"6'2""",223,0,naphl-18u,Chicago Jets 18U AA,-,1.19,0.14%,0.68%
999,Caleb Matthews,F,"6'1""",170,0,whl,Victoria Royals,-,3.09,0.14%,0.64%
4583,Charles-Antoine Pilote,D,"6'3""",190,4,usports,Univ. of Québec-Trois-Rivières,-,2.75,0.14%,0.42%
4584,Bruce Mcdonald,F,"6'0""",176,2,ohl,Owen Sound Attack,-,5.53,0.14%,0.31%
4585,Joel Carlsson,D,"6'0""",183,4,division-2,Valbo HC,-,2.9,0.14%,0.11%
4586,Rasmus Toivainen,F,"5'8""",165,3,"u20 sm-liiga, mestis",totals,-,4.18,0.14%,0.14%
4587,Charles-Antoine Beauregard,F,"5'11""",185,3,qmjhl,Sherbrooke Phoenix,-,5.49,0.14%,0.26%
4588,Vladimir Kuznetsov,F,"5'9""",159,1,mhl,totals,-,6.63,0.14%,0.34%
4589,Cameron Mercer,F,"6'0""",181,2,ohl,Kitchener Rangers,-,3.56,0.14%,0.31%
1000,Ellis Mieyette,F,"6'0""",157,0,ajhl,Drumheller Dragons,-,5.44,0.14%,0.36%
4591,Lucas Nordstrom,D,"5'11""",165,2,superelit,Leksands IF J20,-,2.09,0.14%,0.07%
4592,Marton Nemes,F,"6'2""",183,1,superelit,Mora IK J20,-,3.64,0.14%,0.35%
1001,Marek Kaarna,D,"5'10""",183,0,u18 sm-sarja,Jokerit U18,-,2.2,0.14%,0.38%
1002,Reid Gammage,F,"5'10""",185,0,gojhl,Cambridge Redhawks,-,2.83,0.14%,0.37%
1003,Emil Hermansson,F,"6'2""",187,0,j18-elit,totals,-,2.34,0.14%,0.81%
4596,Drew Belleson,D,"6'1""",194,2,nahl,Philadelphia Rebels,-,1.35,0.14%,0.21%
4597,Aatu Jamsen,F,"6'2""",157,5,ahl,Ontario Reign,Los Angeles Kings,9.76,0.14%,5.34%
1004,Nolan Turnbull,D,"5'11""",181,0,cchl,Rockland Nationals,-,2.45,0.14%,0.36%
4599,Jesperi Kaukonen,F,"5'11""",183,3,u20 sm-liiga,TPS U20,-,4.55,0.14%,0.24%
1005,Kirill Karyayev,D,"5'11""",181,0,mhl,Belye Medvedi Chelyabinsk,-,2.94,0.14%,0.38%
4601,Joshua Niedermayer,D,"6'0""",185,3,ushl,Dubuque Fighting Saints,-,5.24,0.14%,0.6%
4602,Cam Roth,F,"5'11""",185,1,usphl-premier,totals,-,4.68,0.14%,0.37%
4603,Olivier Chessler,D,"5'11""",174,3,nahl,totals,-,3.2,0.14%,0.11%
4604,Conner De Haro,D,"5'11""",192,1,ushl,Youngstown Phantoms,-,3.56,0.14%,0.37%
4605,Vitali Ivanov,F,"5'9""",163,3,nmhl,MHK Yermak Angarsk,-,5.12,0.14%,0.2%
1006,Leith Hunter,D,"6'6""",190,0,whl,Prince George Cougars,-,1.52,0.14%,0.7%
4607,Talan Blanck,F,"5'11""",170,1,"ushl, bchl",Vernon Vipers,-,5.73,0.14%,0.28%
1007,Anderson Kilbourne,F,"5'11""",185,0,ushs-prep,St. Paul's School,-,2.25,0.14%,0.48%
4609,Pavel Simek,F,"5'10""",163,2,qmjhl,totals,-,4.44,0.14%,0.19%
4610,Emil Hedin,F,"6'1""",181,1,j20-elit,Valbo HC J20,-,2.95,0.14%,0.33%
4611,Tyson Laventure,F,"6'3""",201,4,usports,Univ. of Alberta,-,5.41,0.14%,1.52%
4612,Love Gath,F,"6'2""",181,1,"superelit, shl",Rögle BK J20,-,6.78,0.14%,0.72%
4613,Luc Bachmann,D,"6'1""",165,2,u20-elit,EV Zug U20,-,2.24,0.14%,0.08%
4614,Kevin Bicker,F,"6'1""",176,2,del,Löwen Frankfurt,Detroit Red Wings,7.21,0.14%,0.4%
